count,working_day,weekend_day,public_holiday,date
121.0,1,0,0,2016-12-21
101.0,1,0,0,2016-12-22
115.0,1,0,0,2016-12-23
0.0,0,1,0,2016-12-24
0.0,0,1,1,2016-12-25
0.0,0,0,1,2016-12-26
99.0,1,0,0,2016-12-27
115.0,1,0,0,2016-12-28
105.0,1,0,0,2016-12-29
141.0,1,0,0,2016-12-30
55.0,0,1,0,2016-12-31
71.0,0,1,1,2017-01-01
81.0,1,0,0,2017-01-02
82.0,1,0,0,2017-01-03
112.0,1,0,0,2017-01-04
105.0,1,0,0,2017-01-05
146.0,0,0,1,2017-01-06
197.0,0,1,0,2017-01-07
132.0,0,1,0,2017-01-08
73.0,1,0,0,2017-01-09
103.0,1,0,0,2017-01-10
102.0,1,0,0,2017-01-11
82.0,1,0,0,2017-01-12
134.0,1,0,0,2017-01-13
189.0,0,1,0,2017-01-14
99.0,0,1,0,2017-01-15
48.0,1,0,0,2017-01-16
77.0,1,0,0,2017-01-17
102.0,1,0,0,2017-01-18
87.0,1,0,0,2017-01-19
136.0,1,0,0,2017-01-20
171.0,0,1,0,2017-01-21
101.0,0,1,0,2017-01-22
59.0,1,0,0,2017-01-23
57.0,1,0,0,2017-01-24
76.0,1,0,0,2017-01-25
78.0,1,0,0,2017-01-26
108.0,1,0,0,2017-01-27
152.0,0,1,0,2017-01-28
100.0,0,1,0,2017-01-29
85.0,1,0,0,2017-01-30
82.0,1,0,0,2017-01-31
92.0,1,0,0,2017-02-01
90.0,1,0,0,2017-02-02
107.0,1,0,0,2017-02-03
143.0,0,1,0,2017-02-04
112.0,0,1,0,2017-02-05
72.0,1,0,0,2017-02-06
95.0,1,0,0,2017-02-07
99.0,1,0,0,2017-02-08
158.0,1,0,0,2017-02-09
143.0,1,0,0,2017-02-10
169.0,0,1,0,2017-02-11
123.0,0,1,0,2017-02-12
60.0,1,0,0,2017-02-13
122.0,1,0,0,2017-02-14
115.0,1,0,0,2017-02-15
77.0,1,0,0,2017-02-16
99.0,1,0,0,2017-02-17
174.0,0,1,0,2017-02-18
97.0,0,1,0,2017-02-19
78.0,1,0,0,2017-02-20
64.0,1,0,0,2017-02-21
101.0,1,0,0,2017-02-22
64.0,1,0,0,2017-02-23
126.0,1,0,0,2017-02-24
157.0,0,1,0,2017-02-25
128.0,0,1,0,2017-02-26
56.0,1,0,0,2017-02-27
69.0,1,0,0,2017-02-28
80.0,1,0,0,2017-03-01
71.0,1,0,0,2017-03-02
126.0,1,0,0,2017-03-03
158.0,0,1,0,2017-03-04
112.0,0,1,0,2017-03-05
74.0,1,0,0,2017-03-06
73.0,1,0,0,2017-03-07
137.0,1,0,0,2017-03-08
89.0,1,0,0,2017-03-09
144.0,1,0,0,2017-03-10
172.0,0,1,0,2017-03-11
116.0,0,1,0,2017-03-12
69.0,1,0,0,2017-03-13
81.0,1,0,0,2017-03-14
109.0,1,0,0,2017-03-15
66.0,1,0,0,2017-03-16
106.0,1,0,0,2017-03-17
185.0,0,1,0,2017-03-18
87.0,0,1,0,2017-03-19
49.0,1,0,0,2017-03-20
68.0,1,0,0,2017-03-21
109.0,1,0,0,2017-03-22
91.0,1,0,0,2017-03-23
122.0,1,0,0,2017-03-24
170.0,0,1,0,2017-03-25
112.0,0,1,0,2017-03-26
65.0,1,0,0,2017-03-27
65.0,1,0,0,2017-03-28
119.0,1,0,0,2017-03-29
67.0,1,0,0,2017-03-30
139.0,1,0,0,2017-03-31
144.0,0,1,0,2017-04-01
113.0,0,1,0,2017-04-02
68.0,1,0,0,2017-04-03
67.0,1,0,0,2017-04-04
132.0,1,0,0,2017-04-05
72.0,1,0,0,2017-04-06
120.0,1,0,0,2017-04-07
172.0,0,1,0,2017-04-08
133.0,0,1,0,2017-04-09
77.0,1,0,0,2017-04-10
87.0,1,0,0,2017-04-11
136.0,1,0,0,2017-04-12
111.0,1,0,0,2017-04-13
95.0,1,0,0,2017-04-14
0.0,0,1,0,2017-04-15
0.0,0,1,1,2017-04-16
115.0,0,0,1,2017-04-17
85.0,1,0,0,2017-04-18
105.0,1,0,0,2017-04-19
100.0,1,0,0,2017-04-20
149.0,1,0,0,2017-04-21
188.0,0,1,0,2017-04-22
132.0,0,1,0,2017-04-23
57.0,1,0,0,2017-04-24
67.0,1,0,0,2017-04-25
113.0,1,0,0,2017-04-26
69.0,1,0,0,2017-04-27
137.0,1,0,0,2017-04-28
165.0,0,1,0,2017-04-29
93.0,0,1,0,2017-04-30
99.0,0,0,1,2017-05-01
137.0,1,0,0,2017-05-02
143.0,0,0,1,2017-05-03
89.0,1,0,0,2017-05-04
123.0,1,0,0,2017-05-05
132.0,0,1,0,2017-05-06
110.0,0,1,0,2017-05-07
75.0,1,0,0,2017-05-08
77.0,1,0,0,2017-05-09
118.0,1,0,0,2017-05-10
92.0,1,0,0,2017-05-11
118.0,1,0,0,2017-05-12
159.0,0,1,0,2017-05-13
111.0,0,1,0,2017-05-14
66.0,1,0,0,2017-05-15
65.0,1,0,0,2017-05-16
105.0,1,0,0,2017-05-17
83.0,1,0,0,2017-05-18
120.0,1,0,0,2017-05-19
138.0,0,1,0,2017-05-20
125.0,0,1,0,2017-05-21
46.0,1,0,0,2017-05-22
59.0,1,0,0,2017-05-23
100.0,1,0,0,2017-05-24
68.0,1,0,0,2017-05-25
132.0,1,0,0,2017-05-26
153.0,0,1,0,2017-05-27
80.0,0,1,0,2017-05-28
68.0,1,0,0,2017-05-29
69.0,1,0,0,2017-05-30
107.0,1,0,0,2017-05-31
112.0,1,0,0,2017-06-01
130.0,1,0,0,2017-06-02
132.0,0,1,0,2017-06-03
134.0,0,1,1,2017-06-04
63.0,1,0,0,2017-06-05
63.0,1,0,0,2017-06-06
116.0,1,0,0,2017-06-07
91.0,1,0,0,2017-06-08
137.0,1,0,0,2017-06-09
160.0,0,1,0,2017-06-10
119.0,0,1,0,2017-06-11
65.0,1,0,0,2017-06-12
86.0,1,0,0,2017-06-13
124.0,1,0,0,2017-06-14
110.0,0,0,1,2017-06-15
158.0,1,0,0,2017-06-16
144.0,0,1,0,2017-06-17
106.0,0,1,0,2017-06-18
81.0,1,0,0,2017-06-19
65.0,1,0,0,2017-06-20
112.0,1,0,0,2017-06-21
91.0,1,0,0,2017-06-22
173.0,1,0,0,2017-06-23
173.0,0,1,0,2017-06-24
125.0,0,1,0,2017-06-25
68.0,1,0,0,2017-06-26
62.0,1,0,0,2017-06-27
94.0,1,0,0,2017-06-28
81.0,1,0,0,2017-06-29
137.0,1,0,0,2017-06-30
164.0,0,1,0,2017-07-01
108.0,0,1,0,2017-07-02
68.0,1,0,0,2017-07-03
77.0,1,0,0,2017-07-04
114.0,1,0,0,2017-07-05
105.0,1,0,0,2017-07-06
139.0,1,0,0,2017-07-07
142.0,0,1,0,2017-07-08
101.0,0,1,0,2017-07-09
83.0,1,0,0,2017-07-10
87.0,1,0,0,2017-07-11
141.0,1,0,0,2017-07-12
99.0,1,0,0,2017-07-13
125.0,1,0,0,2017-07-14
135.0,0,1,0,2017-07-15
121.0,0,1,0,2017-07-16
71.0,1,0,0,2017-07-17
74.0,1,0,0,2017-07-18
109.0,1,0,0,2017-07-19
88.0,1,0,0,2017-07-20
112.0,1,0,0,2017-07-21
142.0,0,1,0,2017-07-22
108.0,0,1,0,2017-07-23
68.0,1,0,0,2017-07-24
92.0,1,0,0,2017-07-25
124.0,1,0,0,2017-07-26
93.0,1,0,0,2017-07-27
113.0,1,0,0,2017-07-28
118.0,0,1,0,2017-07-29
104.0,0,1,0,2017-07-30
69.0,1,0,0,2017-07-31
91.0,1,0,0,2017-08-01
99.0,1,0,0,2017-08-02
87.0,1,0,0,2017-08-03
100.0,1,0,0,2017-08-04
140.0,0,1,0,2017-08-05
122.0,0,1,0,2017-08-06
67.0,1,0,0,2017-08-07
92.0,1,0,0,2017-08-08
114.0,1,0,0,2017-08-09
93.0,1,0,0,2017-08-10
110.0,1,0,0,2017-08-11
155.0,0,1,0,2017-08-12
121.0,0,1,0,2017-08-13
0.0,1,0,0,2017-08-14
0.0,0,0,1,2017-08-15
0.0,1,0,0,2017-08-16
92.0,1,0,0,2017-08-17
103.0,1,0,0,2017-08-18
152.0,0,1,0,2017-08-19
93.0,0,1,0,2017-08-20
75.0,1,0,0,2017-08-21
86.0,1,0,0,2017-08-22
99.0,1,0,0,2017-08-23
81.0,1,0,0,2017-08-24
118.0,1,0,0,2017-08-25
134.0,0,1,0,2017-08-26
122.0,0,1,0,2017-08-27
67.0,1,0,0,2017-08-28
109.0,1,0,0,2017-08-29
124.0,1,0,0,2017-08-30
91.0,1,0,0,2017-08-31
137.0,1,0,0,2017-09-01
130.0,0,1,0,2017-09-02
121.0,0,1,0,2017-09-03
86.0,1,0,0,2017-09-04
70.0,1,0,0,2017-09-05
99.0,1,0,0,2017-09-06
74.0,1,0,0,2017-09-07
127.0,1,0,0,2017-09-08
147.0,0,1,0,2017-09-09
151.0,0,1,0,2017-09-10
56.0,1,0,0,2017-09-11
64.0,1,0,0,2017-09-12
119.0,1,0,0,2017-09-13
75.0,1,0,0,2017-09-14
117.0,1,0,0,2017-09-15
148.0,0,1,0,2017-09-16
114.0,0,1,0,2017-09-17
67.0,1,0,0,2017-09-18
87.0,1,0,0,2017-09-19
121.0,1,0,0,2017-09-20
71.0,1,0,0,2017-09-21
130.0,1,0,0,2017-09-22
157.0,0,1,0,2017-09-23
109.0,0,1,0,2017-09-24
55.0,1,0,0,2017-09-25
68.0,1,0,0,2017-09-26
106.0,1,0,0,2017-09-27
71.0,1,0,0,2017-09-28
114.0,1,0,0,2017-09-29
152.0,0,1,0,2017-09-30
137.0,0,1,0,2017-10-01
61.0,1,0,0,2017-10-02
67.0,1,0,0,2017-10-03
109.0,1,0,0,2017-10-04
91.0,1,0,0,2017-10-05
138.0,1,0,0,2017-10-06
176.0,0,1,0,2017-10-07
128.0,0,1,0,2017-10-08
60.0,1,0,0,2017-10-09
87.0,1,0,0,2017-10-10
122.0,1,0,0,2017-10-11
81.0,1,0,0,2017-10-12
141.0,1,0,0,2017-10-13
176.0,0,1,0,2017-10-14
118.0,0,1,0,2017-10-15
67.0,1,0,0,2017-10-16
58.0,1,0,0,2017-10-17
126.0,1,0,0,2017-10-18
73.0,1,0,0,2017-10-19
125.0,1,0,0,2017-10-20
145.0,0,1,0,2017-10-21
115.0,0,1,0,2017-10-22
61.0,1,0,0,2017-10-23
62.0,1,0,0,2017-10-24
110.0,1,0,0,2017-10-25
61.0,1,0,0,2017-10-26
124.0,1,0,0,2017-10-27
137.0,0,1,0,2017-10-28
100.0,0,1,0,2017-10-29
60.0,1,0,0,2017-10-30
93.0,1,0,0,2017-10-31
105.0,0,0,1,2017-11-01
63.0,1,0,0,2017-11-02
119.0,1,0,0,2017-11-03
153.0,0,1,0,2017-11-04
112.0,0,1,0,2017-11-05
48.0,1,0,0,2017-11-06
80.0,1,0,0,2017-11-07
107.0,1,0,0,2017-11-08
90.0,1,0,0,2017-11-09
144.0,1,0,0,2017-11-10
129.0,0,1,1,2017-11-11
120.0,0,1,0,2017-11-12
62.0,1,0,0,2017-11-13
85.0,1,0,0,2017-11-14
125.0,1,0,0,2017-11-15
77.0,1,0,0,2017-11-16
127.0,1,0,0,2017-11-17
176.0,0,1,0,2017-11-18
120.0,0,1,0,2017-11-19
47.0,1,0,0,2017-11-20
67.0,1,0,0,2017-11-21
110.0,1,0,0,2017-11-22
91.0,1,0,0,2017-11-23
117.0,1,0,0,2017-11-24
188.0,0,1,0,2017-11-25
102.0,0,1,0,2017-11-26
50.0,1,0,0,2017-11-27
46.0,1,0,0,2017-11-28
111.0,1,0,0,2017-11-29
71.0,1,0,0,2017-11-30
125.0,1,0,0,2017-12-01
168.0,0,1,0,2017-12-02
112.0,0,1,0,2017-12-03
55.0,1,0,0,2017-12-04
79.0,1,0,0,2017-12-05
105.0,1,0,0,2017-12-06
82.0,1,0,0,2017-12-07
149.0,1,0,0,2017-12-08
196.0,0,1,0,2017-12-09
114.0,0,1,0,2017-12-10
56.0,1,0,0,2017-12-11
84.0,1,0,0,2017-12-12
136.0,1,0,0,2017-12-13
79.0,1,0,0,2017-12-14
136.0,1,0,0,2017-12-15
188.0,0,1,0,2017-12-16
117.0,0,1,0,2017-12-17
53.0,1,0,0,2017-12-18
76.0,1,0,0,2017-12-19
128.0,1,0,0,2017-12-20
91.0,1,0,0,2017-12-21
162.0,1,0,0,2017-12-22
0.0,0,1,0,2017-12-23
0.0,0,1,0,2017-12-24
0.0,0,0,1,2017-12-25
0.0,0,0,1,2017-12-26
107.0,1,0,0,2017-12-27
102.0,1,0,0,2017-12-28
123.0,1,0,0,2017-12-29
148.0,0,1,0,2017-12-30
53.0,0,1,0,2017-12-31
80.0,0,0,1,2018-01-01
68.0,1,0,0,2018-01-02
98.0,1,0,0,2018-01-03
72.0,1,0,0,2018-01-04
120.0,1,0,0,2018-01-05
143.0,0,1,1,2018-01-06
92.0,0,1,0,2018-01-07
50.0,1,0,0,2018-01-08
71.0,1,0,0,2018-01-09
138.0,1,0,0,2018-01-10
67.0,1,0,0,2018-01-11
130.0,1,0,0,2018-01-12
177.0,0,1,0,2018-01-13
102.0,0,1,0,2018-01-14
52.0,1,0,0,2018-01-15
70.0,1,0,0,2018-01-16
107.0,1,0,0,2018-01-17
73.0,1,0,0,2018-01-18
126.0,1,0,0,2018-01-19
157.0,0,1,0,2018-01-20
99.0,0,1,0,2018-01-21
52.0,1,0,0,2018-01-22
48.0,1,0,0,2018-01-23
118.0,1,0,0,2018-01-24
65.0,1,0,0,2018-01-25
122.0,1,0,0,2018-01-26
141.0,0,1,0,2018-01-27
109.0,0,1,0,2018-01-28
49.0,1,0,0,2018-01-29
60.0,1,0,0,2018-01-30
119.0,1,0,0,2018-01-31
75.0,1,0,0,2018-02-01
130.0,1,0,0,2018-02-02
137.0,0,1,0,2018-02-03
94.0,0,1,0,2018-02-04
52.0,1,0,0,2018-02-05
65.0,1,0,0,2018-02-06
115.0,1,0,0,2018-02-07
69.0,1,0,0,2018-02-08
195.0,1,0,0,2018-02-09
195.0,0,1,0,2018-02-10
122.0,0,1,0,2018-02-11
60.0,1,0,0,2018-02-12
67.0,1,0,0,2018-02-13
146.0,1,0,0,2018-02-14
87.0,1,0,0,2018-02-15
109.0,1,0,0,2018-02-16
155.0,0,1,0,2018-02-17
103.0,0,1,0,2018-02-18
62.0,1,0,0,2018-02-19
65.0,1,0,0,2018-02-20
110.0,1,0,0,2018-02-21
63.0,1,0,0,2018-02-22
124.0,1,0,0,2018-02-23
152.0,0,1,0,2018-02-24
99.0,0,1,0,2018-02-25
56.0,1,0,0,2018-02-26
63.0,1,0,0,2018-02-27
102.0,1,0,0,2018-02-28
75.0,1,0,0,2018-03-01
116.0,1,0,0,2018-03-02
152.0,0,1,0,2018-03-03
103.0,0,1,0,2018-03-04
55.0,1,0,0,2018-03-05
59.0,1,0,0,2018-03-06
116.0,1,0,0,2018-03-07
103.0,1,0,0,2018-03-08
141.0,1,0,0,2018-03-09
151.0,0,1,0,2018-03-10
124.0,0,1,0,2018-03-11
53.0,1,0,0,2018-03-12
53.0,1,0,0,2018-03-13
118.0,1,0,0,2018-03-14
80.0,1,0,0,2018-03-15
118.0,1,0,0,2018-03-16
171.0,0,1,0,2018-03-17
140.0,0,1,0,2018-03-18
54.0,1,0,0,2018-03-19
73.0,1,0,0,2018-03-20
106.0,1,0,0,2018-03-21
79.0,1,0,0,2018-03-22
129.0,1,0,0,2018-03-23
171.0,0,1,0,2018-03-24
89.0,0,1,0,2018-03-25
65.0,1,0,0,2018-03-26
71.0,1,0,0,2018-03-27
129.0,1,0,0,2018-03-28
93.0,1,0,0,2018-03-29
85.0,1,0,0,2018-03-30
0.0,0,1,0,2018-03-31
0.0,0,1,1,2018-04-01
0.0,0,0,1,2018-04-02
67.0,1,0,0,2018-04-03
85.0,1,0,0,2018-04-04
74.0,1,0,0,2018-04-05
128.0,1,0,0,2018-04-06
173.0,0,1,0,2018-04-07
156.0,0,1,0,2018-04-08
61.0,1,0,0,2018-04-09
97.0,1,0,0,2018-04-10
138.0,1,0,0,2018-04-11
94.0,1,0,0,2018-04-12
124.0,1,0,0,2018-04-13
155.0,0,1,0,2018-04-14
143.0,0,1,0,2018-04-15
63.0,1,0,0,2018-04-16
63.0,1,0,0,2018-04-17
129.0,1,0,0,2018-04-18
87.0,1,0,0,2018-04-19
133.0,1,0,0,2018-04-20
130.0,0,1,0,2018-04-21
134.0,0,1,0,2018-04-22
82.0,1,0,0,2018-04-23
75.0,1,0,0,2018-04-24
120.0,1,0,0,2018-04-25
66.0,1,0,0,2018-04-26
122.0,1,0,0,2018-04-27
128.0,0,1,0,2018-04-28
146.0,0,1,0,2018-04-29
117.0,1,0,0,2018-04-30
135.0,0,0,1,2018-05-01
173.0,1,0,0,2018-05-02
134.0,0,0,1,2018-05-03
119.0,1,0,0,2018-05-04
116.0,0,1,0,2018-05-05
129.0,0,1,0,2018-05-06
65.0,1,0,0,2018-05-07
80.0,1,0,0,2018-05-08
127.0,1,0,0,2018-05-09
108.0,1,0,0,2018-05-10
146.0,1,0,0,2018-05-11
160.0,0,1,0,2018-05-12
157.0,0,1,0,2018-05-13
67.0,1,0,0,2018-05-14
82.0,1,0,0,2018-05-15
137.0,1,0,0,2018-05-16
103.0,1,0,0,2018-05-17
127.0,1,0,0,2018-05-18
153.0,0,1,0,2018-05-19
156.0,0,1,1,2018-05-20
79.0,1,0,0,2018-05-21
85.0,1,0,0,2018-05-22
129.0,1,0,0,2018-05-23
85.0,1,0,0,2018-05-24
124.0,1,0,0,2018-05-25
155.0,0,1,0,2018-05-26
114.0,0,1,0,2018-05-27
61.0,1,0,0,2018-05-28
91.0,1,0,0,2018-05-29
167.0,1,0,0,2018-05-30
119.0,0,0,1,2018-05-31
148.0,1,0,0,2018-06-01
131.0,0,1,0,2018-06-02
123.0,0,1,0,2018-06-03
90.0,1,0,0,2018-06-04
70.0,1,0,0,2018-06-05
130.0,1,0,0,2018-06-06
110.0,1,0,0,2018-06-07
151.0,1,0,0,2018-06-08
156.0,0,1,0,2018-06-09
175.0,0,1,0,2018-06-10
88.0,1,0,0,2018-06-11
100.0,1,0,0,2018-06-12
161.0,1,0,0,2018-06-13
110.0,1,0,0,2018-06-14
159.0,1,0,0,2018-06-15
159.0,0,1,0,2018-06-16
163.0,0,1,0,2018-06-17
85.0,1,0,0,2018-06-18
22.0,1,0,0,2018-06-19
